,subject,variable,value,hypothesis,questions_label,dillan_hyp_rate,chiaki_hyp_rate,comments
0,0,Timestamp,12/19/2023 18:59,,time,,,
1,1,Timestamp,12/19/2023 21:44,,time,,,
2,2,Timestamp,12/20/2023 9:55,,time,,,
3,3,Timestamp,12/20/2023 10:32,,time,,,
4,4,Timestamp,12/20/2023 10:35,,time,,,
5,5,Timestamp,12/21/2023 4:47,,time,,,
6,6,Timestamp,12/22/2023 13:43,,time,,,
7,7,Timestamp,12/27/2023 8:45,,time,,,
8,8,Timestamp,1/2/2024 12:33,,time,,,
9,9,Timestamp,1/2/2024 13:13,,time,,,
10,10,Timestamp,1/2/2024 13:16,,time,,,
11,11,Timestamp,1/2/2024 13:32,,time,,,
12,12,Timestamp,1/2/2024 14:01,,time,,,
13,13,Timestamp,1/2/2024 15:44,,time,,,
14,14,Timestamp,1/2/2024 15:58,,time,,,
15,15,Timestamp,1/2/2024 16:19,,time,,,
16,16,Timestamp,1/2/2024 16:29,,time,,,
17,17,Timestamp,1/2/2024 19:36,,time,,,
18,18,Timestamp,1/3/2024 0:02,,time,,,
19,19,Timestamp,1/3/2024 7:49,,time,,,
20,20,Timestamp,1/3/2024 11:35,,time,,,
21,21,Timestamp,1/4/2024 11:33,,time,,,
22,22,Timestamp,1/8/2024 22:20,,time,,,
23,23,Timestamp,1/8/2024 22:21,,time,,,
360,0,Any other comments/questions? :),Love you Dill,,o,,,
361,1,Any other comments/questions? :),,,o,,,
362,2,Any other comments/questions? :),,,o,,,
363,3,Any other comments/questions? :),Badass survey!,,o,,,
364,4,Any other comments/questions? :),,,o,,,
365,5,Any other comments/questions? :),This was a cool critical thinking exercise for me. 🤯 ,,o,,,
366,6,Any other comments/questions? :),,,o,,,
367,7,Any other comments/questions? :),Thanks for creating this survey! It is very introspective. :),,o,,,
368,8,Any other comments/questions? :),,,o,,,
369,9,Any other comments/questions? :),,,o,,,
370,10,Any other comments/questions? :),,,o,,,
371,11,Any other comments/questions? :),Had trouble with the word “reality” and “true” in the same statement since they inherently conflict.,,o,,,
372,12,Any other comments/questions? :),,,o,,,
373,13,Any other comments/questions? :),Good luck exploiting the results ! Hope you find something interesting ,,o,,,
374,14,Any other comments/questions? :),,,o,,,
375,15,Any other comments/questions? :),,,o,,,
376,16,Any other comments/questions? :),,,o,,,
377,17,Any other comments/questions? :),,,o,,,
378,18,Any other comments/questions? :),,,o,,,
379,19,Any other comments/questions? :),,,o,,,
